Frame,Visibility,X,Y
602,1,903,416
603,1,900,420
604,1,896,423
605,1,892,427
606,1,888,435
607,1,885,438
608,1,881,442
609,1,877,450
610,1,877,461
611,1,873,468
612,1,866,483
613,1,862,495
614,1,862,498
615,1,858,502
616,1,855,510
617,1,851,521
618,1,847,521
619,0,-1,-1
620,1,832,498
621,0,-1,-1
622,1,825,472
623,1,817,461
624,1,813,450
625,1,810,442
626,1,802,435
627,1,795,427
628,1,791,423
629,0,-1,-1
630,0,-1,-1
631,1,780,408
632,1,772,401
633,1,768,397
634,1,765,393
635,1,757,390
636,1,753,390
637,1,746,386
638,1,742,386
639,1,735,390
640,1,731,390
641,1,727,390
642,1,720,390
643,1,716,393
644,1,712,397
645,1,708,401
646,1,705,408
647,1,701,416
648,1,690,423
649,1,686,431
650,1,678,435
651,1,675,446
652,1,671,457
653,1,667,465
654,1,660,476
655,1,656,487
656,1,652,495
657,0,-1,-1
658,0,-1,-1
659,0,-1,-1
660,0,-1,-1
661,1,701,495
662,1,708,498
663,1,720,498
664,1,731,502
665,1,742,502
666,1,757,510
667,1,772,521
668,1,783,525
669,1,806,540
670,1,813,547
671,1,825,558
672,1,836,570
673,0,-1,-1
674,0,-1,-1
675,0,-1,-1
676,0,-1,-1
677,0,-1,-1
678,0,-1,-1
679,1,930,551
680,1,930,536
681,1,933,513
682,1,937,502
683,1,945,495
684,1,948,461
685,1,948,446
686,1,952,435
687,1,956,423
688,1,960,412
689,1,963,405
690,1,967,397
691,1,971,390
692,1,971,382
693,1,975,378
694,1,978,375
695,1,978,375
696,1,982,371
697,1,986,371
698,1,986,371
699,1,990,371
700,1,993,375
701,1,993,378
702,1,997,375
703,1,997,378
704,1,1001,386
705,1,1005,390
706,1,1005,397
707,1,1008,405
708,1,1008,408
709,1,1012,420
710,1,1012,427
711,1,1012,435
712,1,1016,446
713,1,1016,453
714,1,1016,468
715,1,1020,480
716,1,1020,487
717,1,1020,506
718,1,1020,521
719,1,1020,536
720,1,1023,547
721,0,-1,-1
722,0,-1,-1
723,0,-1,-1
724,0,-1,-1
725,0,-1,-1
726,0,-1,-1
727,0,-1,-1
728,0,-1,-1
729,1,993,547
730,1,990,540
731,1,982,532
732,1,978,528
733,1,975,521
734,1,967,510
735,1,963,502
736,1,960,502
737,1,952,498
738,1,945,498
739,1,941,491
740,1,933,487
